nazwa;miasto;kod;ulica;NIP
"Ksiêgarnia Meloman";"Poznañ";"60321";"D¹browskiego 5";"1234563218"
"Audiofilska Przystañ";"Warszawa";"00001";"Marsza³kowska 99";"9876543210"
"Placówka Muzyczna Echo";"Kraków";"30011";"Floriañska 16";"5643211122"
"Gramofonik";"Katowice";"40082";"3 Maja 22";"2554125565"
"Muzyka dla Ciebie";"Gdañsk";"80842";"D³uga 88";"2143658799"
"DŸwiêkolandia";"Szczecin";"70001";"Krzywoustego 100";"7779995533"
"Fortepian Plus";"Lublin";"20102";"Lipowa 15";"3014568912"
"Sklep Muzyczny Takt";"Rzeszów";"35064";"3 Maja 5";"6062347890"
"Rytm i Melodia";"Olsztyn";"10513";"Pieniê¿nego 12";"3126549877"
"Gitara i Ty";"Bia³ystok";"15113";"Kolejowa 7";"4125678945"